Date,Open,High,Low,Close,Volume,Adj Close
2014-09-24,425.64,443.9,418.83,426.88,14882.34017612,426.88
2014-09-25,412.52,427.95,400.0,412.57,15315.99309298,412.57
2014-09-26,406.38,414.35,396.53,408.42,9994.88352287,408.42
2014-09-27,402.16,408.99,396.57,402.16,5548.55470855,402.16
2014-09-29,375.48,403.99,368.9,376.86,16527.43136459,376.86
2014-09-30,388.52,397.75,366.0,389.66,16378.99097021,389.66
2014-10-01,384.35,394.88,377.01,384.92,13417.03154145,384.92
2014-10-02,372.99,385.92,372.95,373.89,10085.23729447,373.89
2014-10-03,356.54,378.11,356.0,357.93,18400.11086746,357.93
2014-10-04,331.52,365.07,322.04,332.23,29008.70096344,332.23
2014-10-05,300.04,339.43,275.0,300.98,57052.1079549,300.98
2014-10-06,332.24,347.0,295.89,332.92,75616.60471926,332.92
2014-10-07,329.42,336.99,312.37,329.94,23134.39545076,329.94
2014-10-08,353.67,355.0,326.93,353.67,27768.82024727,353.67
2014-10-09,359.03,395.55,348.3,359.92,46916.15551862,359.92
2014-10-10,359.81,380.08,351.1,359.81,22477.45114157,359.81
2014-10-11,362.58,368.06,352.1,362.63,9702.22910937,362.63
2014-10-12,378.04,383.6,354.71,378.06,14329.64213218,378.06
2014-10-13,400.0,400.0,368.07,400.0,24697.54277613,400.0
2014-10-14,408.0,417.99,390.0,408.03,25247.02151075,408.03
2014-10-15,392.29,405.81,385.92,393.46,19054.11379333,393.46
2014-10-16,381.85,399.0,370.1,381.85,22925.84257978,381.85
2014-10-18,389.35,393.16,370.96,389.0,8823.06090369,389.0
2014-10-19,387.22,394.25,385.0,387.3,3073.21493439,387.3
2014-10-20,382.6,391.78,376.2,383.82,11553.36844047,383.82
2014-10-21,385.56,393.55,378.01,386.57,8611.0476945,386.57
2014-10-22,383.38,388.87,380.0,383.38,8186.49769117,383.38
2014-10-23,355.15,384.91,352.4,358.18,20536.57271099,358.18
2014-10-24,356.45,363.71,344.34,356.7,16286.82532807,356.7
2014-10-25,350.27,359.1,341.22,352.56,10893.99706437,352.56
2014-10-26,354.97,363.0,344.5,354.97,7960.96535279,354.97
2014-10-27,353.04,358.65,349.21,353.66,8367.85672556,353.66
2014-10-28,354.26,359.5,349.35,354.5,7887.43764488,354.5
2014-10-29,337.88,357.45,336.01,337.89,12796.62935624,337.89
2014-10-30,346.11,352.83,332.99,345.77,14610.87730066,345.77
2014-10-31,340.06,348.65,335.5,340.0,7727.04832294,340.0
2014-11-01,322.94,340.74,316.61,323.9,15054.62288383,323.9
2014-11-02,324.6,329.0,318.24,325.48,7928.06064239,325.48
2014-11-03,325.2,333.99,322.0,325.99,11600.95868213,325.99
2014-11-04,327.73,332.9,320.0,328.18,13462.36295305,328.18
2014-11-05,339.52,344.17,327.53,339.54,15606.81700547,339.54
2014-11-06,349.04,353.1,336.27,350.1,14303.92394846,350.1
2014-11-07,341.97,352.15,340.4,341.97,7406.97216226,341.97
2014-11-08,346.19,347.75,340.6,346.17,3720.92416276,346.17
2014-11-09,360.18,361.97,343.4,360.13,9351.86655221,360.13
2014-11-10,367.88,377.77,357.3,365.0,20375.63699623,365.0
2014-11-11,368.33,371.52,360.28,369.42,7412.87029342,369.42
2014-11-12,420.38,434.8,367.48,421.68,43300.62199706,421.68
2014-11-13,417.21,453.92,381.55,417.2,49753.19528984,417.2
2014-11-14,399.59,425.0,382.95,400.8,22876.97828427,400.8
2014-11-15,378.52,407.22,369.0,379.03,14213.32273815,379.03
2014-11-16,389.5,395.0,375.0,389.9,9964.3621698,389.9
2014-11-17,389.01,415.0,375.0,389.03,23967.7587843,389.03
2014-11-18,376.65,394.64,371.0,377.19,15059.18229091,377.19
2014-11-19,377.32,386.39,371.7,377.32,9330.27858112,377.32
2014-11-20,357.15,381.8,351.8,357.93,16460.72390857,357.93
2014-11-22,353.03,365.93,350.0,354.44,6747.16309738,354.44
2014-11-23,367.0,373.5,353.01,367.88,7805.95868442,367.88
2014-11-24,376.04,389.99,364.5,376.05,18513.47715449,376.05
2014-11-25,379.1,395.11,374.31,379.1,16488.13630784,379.1
2014-11-26,364.65,379.22,363.38,364.63,13085.19273728,364.63
2014-11-27,367.62,375.33,364.63,368.39,6405.66473445,368.39
